100000,00:00:00.0002376
100000,00:00:00.0001847
100000,00:00:00.0001840
100000,00:00:00.0001824
100000,00:00:00.0001818
100000,00:00:00.0001872
100000,00:00:00.0001819
100000,00:00:00.0001817
100000,00:00:00.0001818
100000,00:00:00.0001819
200000,00:00:00.0003681
200000,00:00:00.0003713
200000,00:00:00.0003652
200000,00:00:00.0003711
200000,00:00:00.0003660
200000,00:00:00.0003669
200000,00:00:00.0003755
200000,00:00:00.0003671
200000,00:00:00.0003666
200000,00:00:00.0003706
300000,00:00:00.0005629
300000,00:00:00.0005568
300000,00:00:00.0005590
300000,00:00:00.0005546
300000,00:00:00.0005591
300000,00:00:00.0005579
300000,00:00:00.0005516
300000,00:00:00.0005857
300000,00:00:00.0005546
300000,00:00:00.0005583
400000,00:00:00.0007513
400000,00:00:00.0007508
400000,00:00:00.0007429
400000,00:00:00.0007467
400000,00:00:00.0007463
400000,00:00:00.0007457
400000,00:00:00.0007405
400000,00:00:00.0007458
400000,00:00:00.0007467
400000,00:00:00.0007469
500000,00:00:00.0009426
500000,00:00:00.0009401
500000,00:00:00.0009385
500000,00:00:00.0009386
500000,00:00:00.0009395
500000,00:00:00.0009386
500000,00:00:00.0009326
500000,00:00:00.0009335
500000,00:00:00.0009331
500000,00:00:00.0009337
600000,00:00:00.0011322
600000,00:00:00.0011287
600000,00:00:00.0011286
600000,00:00:00.0011246
600000,00:00:00.0011258
600000,00:00:00.0011245
600000,00:00:00.0011185
600000,00:00:00.0011186
600000,00:00:00.0011199
600000,00:00:00.0011197
700000,00:00:00.0013214
700000,00:00:00.0013152
700000,00:00:00.0013149
700000,00:00:00.0013112
700000,00:00:00.0013069
700000,00:00:00.0013061
700000,00:00:00.0013104
700000,00:00:00.0013072
700000,00:00:00.0013049
700000,00:00:00.0013095
800000,00:00:00.0015191
800000,00:00:00.0015138
800000,00:00:00.0015158
800000,00:00:00.0015064
800000,00:00:00.0015078
800000,00:00:00.0015026
800000,00:00:00.0015057
800000,00:00:00.0014962
800000,00:00:00.0014993
800000,00:00:00.0014944
900000,00:00:00.0017050
900000,00:00:00.0017025
900000,00:00:00.0016969
900000,00:00:00.0017017
900000,00:00:00.0016987
900000,00:00:00.0016987
900000,00:00:00.0016864
900000,00:00:00.0016910
900000,00:00:00.0016912
900000,00:00:00.0016846
1000000,00:00:00.0018942
1000000,00:00:00.0018900
1000000,00:00:00.0018789
1000000,00:00:00.0020140
1000000,00:00:00.0018661
1000000,00:00:00.0018493
1000000,00:00:00.0018575
1000000,00:00:00.0018648
1000000,00:00:00.0018683
1000000,00:00:00.0018683
1100000,00:00:00.0020865
1100000,00:00:00.0020817
1100000,00:00:00.0020830
1100000,00:00:00.0020715
1100000,00:00:00.0020715
1100000,00:00:00.0020711
1100000,00:00:00.0020719
1100000,00:00:00.0020718
1100000,00:00:00.0020709
1100000,00:00:00.0020702
1200000,00:00:00.0022969
1200000,00:00:00.0022846
1200000,00:00:00.0022744
1200000,00:00:00.0022736
1200000,00:00:00.0022585
1200000,00:00:00.0022571
1200000,00:00:00.0022589
1200000,00:00:00.0022654
1200000,00:00:00.0022597
1200000,00:00:00.0022672
1300000,00:00:00.0024534
1300000,00:00:00.0024417
1300000,00:00:00.0024459
1300000,00:00:00.0024401
1300000,00:00:00.0024434
1300000,00:00:00.0024371
1300000,00:00:00.0024420
1300000,00:00:00.0024406
1300000,00:00:00.0024412
1300000,00:00:00.0024375
1400000,00:00:00.0026447
1400000,00:00:00.0026449
1400000,00:00:00.0026291
1400000,00:00:00.0026262
1400000,00:00:00.0026311
1400000,00:00:00.0026298
1400000,00:00:00.0026311
1400000,00:00:00.0026309
1400000,00:00:00.0026279
1400000,00:00:00.0026335
1500000,00:00:00.0028369
1500000,00:00:00.0028273
1500000,00:00:00.0028206
1500000,00:00:00.0028250
1500000,00:00:00.0028220
1500000,00:00:00.0028233
1500000,00:00:00.0028329
1500000,00:00:00.0028284
1500000,00:00:00.0028386
1500000,00:00:00.0028262
1600000,00:00:00.0030293
1600000,00:00:00.0030250
1600000,00:00:00.0030219
1600000,00:00:00.0030179
1600000,00:00:00.0030137
1600000,00:00:00.0030097
1600000,00:00:00.0030153
1600000,00:00:00.0030112
1600000,00:00:00.0030086
1600000,00:00:00.0030092
1700000,00:00:00.0032206
1700000,00:00:00.0032213
1700000,00:00:00.0032127
1700000,00:00:00.0032082
1700000,00:00:00.0032007
1700000,00:00:00.0031993
1700000,00:00:00.0031967
1700000,00:00:00.0032062
1700000,00:00:00.0032180
1700000,00:00:00.0032010
1800000,00:00:00.0034099
1800000,00:00:00.0034187
1800000,00:00:00.0034052
1800000,00:00:00.0033914
1800000,00:00:00.0033920
1800000,00:00:00.0033941
1800000,00:00:00.0033991
1800000,00:00:00.0033911
1800000,00:00:00.0033941
1800000,00:00:00.0034050
1900000,00:00:00.0036013
1900000,00:00:00.0035996
1900000,00:00:00.0035866
1900000,00:00:00.0035778
1900000,00:00:00.0035944
1900000,00:00:00.0035849
1900000,00:00:00.0035809
1900000,00:00:00.0035879
1900000,00:00:00.0035808
1900000,00:00:00.0035870
