ReverseA,5000,00:00:00.0174455
ReverseB,5000,00:00:00.0000062
ReverseXor,5000,00:00:00.0000183
ReverseA,5000,00:00:00.0173668
ReverseB,5000,00:00:00.0000061
ReverseXor,5000,00:00:00.0000181
ReverseA,6000,00:00:00.0253277
ReverseB,6000,00:00:00.0000108
ReverseXor,6000,00:00:00.0000216
ReverseA,6000,00:00:00.0254325
ReverseB,6000,00:00:00.0000071
ReverseXor,6000,00:00:00.0000144
ReverseA,6000,00:00:00.0253165
ReverseB,6000,00:00:00.0000108
ReverseXor,6000,00:00:00.0000146
ReverseA,6000,00:00:00.0259265
ReverseB,6000,00:00:00.0000078
ReverseXor,6000,00:00:00.0000146
ReverseA,6000,00:00:00.0246824
ReverseB,6000,00:00:00.0000074
ReverseXor,6000,00:00:00.0000144
ReverseA,6000,00:00:00.0252567
ReverseB,6000,00:00:00.0000083
ReverseXor,6000,00:00:00.0000143
ReverseA,6000,00:00:00.0246696
ReverseB,6000,00:00:00.0000112
ReverseXor,6000,00:00:00.0000216
ReverseA,6000,00:00:00.0258412
ReverseB,6000,00:00:00.0000072
ReverseXor,6000,00:00:00.0000187
ReverseA,6000,00:00:00.0244819
ReverseB,6000,00:00:00.0000075
ReverseXor,6000,00:00:00.0000148
ReverseA,6000,00:00:00.0252208
ReverseB,6000,00:00:00.0000107
ReverseXor,6000,00:00:00.0000210
ReverseA,7000,00:00:00.0344833
ReverseB,7000,00:00:00.0000086
ReverseXor,7000,00:00:00.0000479
ReverseA,7000,00:00:00.0331671
ReverseB,7000,00:00:00.0000086
ReverseXor,7000,00:00:00.0000169
ReverseA,7000,00:00:00.0341023
ReverseB,7000,00:00:00.0000085
ReverseXor,7000,00:00:00.0000172
ReverseA,7000,00:00:00.0348736
ReverseB,7000,00:00:00.0000123
ReverseXor,7000,00:00:00.0000247
ReverseA,7000,00:00:00.0364106
ReverseB,7000,00:00:00.0000163
ReverseXor,7000,00:00:00.0000360
ReverseA,7000,00:00:00.0354848
ReverseB,7000,00:00:00.0000089
ReverseXor,7000,00:00:00.0000168
ReverseA,7000,00:00:00.0358784
ReverseB,7000,00:00:00.0000082
ReverseXor,7000,00:00:00.0000163
ReverseA,7000,00:00:00.0346076
ReverseB,7000,00:00:00.0000084
ReverseXor,7000,00:00:00.0000169
ReverseA,7000,00:00:00.0355722
ReverseB,7000,00:00:00.0000124
ReverseXor,7000,00:00:00.0000244
ReverseA,7000,00:00:00.0368978
ReverseB,7000,00:00:00.0000123
ReverseXor,7000,00:00:00.0000245
ReverseA,8000,00:00:00.0472486
ReverseB,8000,00:00:00.0000094
ReverseXor,8000,00:00:00.0000189
ReverseA,8000,00:00:00.0464503
ReverseB,8000,00:00:00.0000096
ReverseXor,8000,00:00:00.0000253
ReverseA,8000,00:00:00.0499332
ReverseB,8000,00:00:00.0000097
ReverseXor,8000,00:00:00.0000193
ReverseA,8000,00:00:00.0563726
ReverseB,8000,00:00:00.0000145
ReverseXor,8000,00:00:00.0000273
ReverseA,8000,00:00:00.0577435
ReverseB,8000,00:00:00.0000098
ReverseXor,8000,00:00:00.0000195
ReverseA,8000,00:00:00.0481809
ReverseB,8000,00:00:00.0000144
ReverseXor,8000,00:00:00.0000402
ReverseA,8000,00:00:00.0461384
ReverseB,8000,00:00:00.0000144
ReverseXor,8000,00:00:00.0000370
ReverseA,8000,00:00:00.0477551
ReverseB,8000,00:00:00.0000149
ReverseXor,8000,00:00:00.0000284
ReverseA,8000,00:00:00.0567867
ReverseB,8000,00:00:00.0000145
ReverseXor,8000,00:00:00.0000290
ReverseA,8000,00:00:00.0648956
ReverseB,8000,00:00:00.0000152
ReverseXor,8000,00:00:00.0000301
ReverseA,9000,00:00:00.0740087
ReverseB,9000,00:00:00.0000169
ReverseXor,9000,00:00:00.0000334
ReverseA,9000,00:00:00.0746466
ReverseB,9000,00:00:00.0000107
ReverseXor,9000,00:00:00.0000224
ReverseA,9000,00:00:00.0795816
ReverseB,9000,00:00:00.0000107
ReverseXor,9000,00:00:00.0000220
ReverseA,9000,00:00:00.0777070
ReverseB,9000,00:00:00.0000133
ReverseXor,9000,00:00:00.0000309
ReverseA,9000,00:00:00.0794695
ReverseB,9000,00:00:00.0000162
ReverseXor,9000,00:00:00.0000374
ReverseA,9000,00:00:00.0727173
ReverseB,9000,00:00:00.0000156
ReverseXor,9000,00:00:00.0000332
ReverseA,9000,00:00:00.0801190
ReverseB,9000,00:00:00.0000108
ReverseXor,9000,00:00:00.0000490
ReverseA,9000,00:00:00.0769268
ReverseB,9000,00:00:00.0000163
ReverseXor,9000,00:00:00.0000425
ReverseA,9000,00:00:00.0767039
ReverseB,9000,00:00:00.0000110
ReverseXor,9000,00:00:00.0000313
ReverseA,9000,00:00:00.0761428
ReverseB,9000,00:00:00.0000126
ReverseXor,9000,00:00:00.0000326
ReverseA,10000,00:00:00.0983765
ReverseB,10000,00:00:00.0000183
ReverseXor,10000,00:00:00.0000350
ReverseA,10000,00:00:00.0987211
ReverseB,10000,00:00:00.0000179
ReverseXor,10000,00:00:00.0000376
ReverseA,10000,00:00:00.0997126
ReverseB,10000,00:00:00.0000120
ReverseXor,10000,00:00:00.0000292
ReverseA,10000,00:00:00.0927472
ReverseB,10000,00:00:00.0000275
ReverseXor,10000,00:00:00.0000255
ReverseA,10000,00:00:00.0904876
ReverseB,10000,00:00:00.0000146
ReverseXor,10000,00:00:00.0000580
ReverseA,10000,00:00:00.0912054
ReverseB,10000,00:00:00.0000196
ReverseXor,10000,00:00:00.0000311
ReverseA,10000,00:00:00.1113699
ReverseB,10000,00:00:00.0000156
ReverseXor,10000,00:00:00.0000360
ReverseA,10000,00:00:00.0949480
ReverseB,10000,00:00:00.0000171
ReverseXor,10000,00:00:00.0000348
ReverseA,10000,00:00:00.0897260
ReverseB,10000,00:00:00.0000116
ReverseXor,10000,00:00:00.0000324
ReverseA,10000,00:00:00.0849270
ReverseB,10000,00:00:00.0000355
ReverseXor,10000,00:00:00.0000270
ReverseA,11000,00:00:00.1007563
ReverseB,11000,00:00:00.0000135
ReverseXor,11000,00:00:00.0000271
ReverseA,11000,00:00:00.1067848
ReverseB,11000,00:00:00.0000228
ReverseXor,11000,00:00:00.0000509
ReverseA,11000,00:00:00.1219138
ReverseB,11000,00:00:00.0000204
ReverseXor,11000,00:00:00.0000395
ReverseA,11000,00:00:00.1223725
ReverseB,11000,00:00:00.0000206
ReverseXor,11000,00:00:00.0000263
ReverseA,11000,00:00:00.1086502
ReverseB,11000,00:00:00.0000219
ReverseXor,11000,00:00:00.0000467
ReverseA,11000,00:00:00.1216247
ReverseB,11000,00:00:00.0000163
ReverseXor,11000,00:00:00.0000273
ReverseA,11000,00:00:00.1133700
ReverseB,11000,00:00:00.0000246
ReverseXor,11000,00:00:00.0000516
ReverseA,11000,00:00:00.1112115
ReverseB,11000,00:00:00.0000200
ReverseXor,11000,00:00:00.0000260
ReverseA,11000,00:00:00.1076266
